Postcode,Total Installations,Total SGU Rated Output In kW
3090,92,373.373
3091,96,403.260
3093,141,480.200
3094,293,781.193
3095,987,2993.493
3096,97,269.385
3097,101,353.035
3099,288,874.809
3101,534,1688.522
3102,189,478.614
3103,381,1107.160
3104,503,1528.295
3105,353,1046.664
3106,665,1999.303
3107,410,1147.484
3108,555,1461.825
3109,784,2242.962
3111,520,1488.908
3113,451,1472.198
3114,163,573.281
3115,180,609.335
3116,474,1379.933
3121,406,1388.574
3122,277,885.870
3123,214,622.881
3124,514,1472.507
3125,478,1132.552
3126,165,478.510
3127,488,1288.054
3128,471,1359.064
3129,487,1170.951
3130,1113,2838.630
3131,822,2355.876
3132,505,1364.408
3133,1028,2561.568
3134,1157,3423.429
3135,725,1872.743
3136,1643,4420.178
3137,703,2544.298
3138,1036,2906.671
3139,847,3009.917
3140,825,2541.020
3141,126,469.172
3142,105,462.169
3143,111,338.461
3144,174,598.879
3145,495,1514.617
3146,560,1815.044
3147,474,1313.435
3148,273,703.985
3149,1263,3386.965
3150,2579,6936.248
3151,409,960.258
3152,1438,4083.566
3153,967,3645.100
3154,192,559.390
3155,963,2633.691
3156,1920,5449.456
3158,240,655.008
3159,108,302.057
3160,337,925.786
3161,177,593.872
3162,366,1144.433
3163,651,1644.319
3164,13,333.650
3165,787,2185.325
3166,659,2042.140
3167,337,967.578
3168,355,1187.065
3169,620,1733.474
3170,780,2451.464
3171,868,2563.846
3172,938,2849.869
3173,1483,4584.509
3174,1216,3302.878
3175,1673,6558.723
3177,387,960.164
3178,1995,5418.347
3179,309,1028.868
3180,432,1233.235
3181,144,413.549
3182,156,525.308
3183,173,434.695
3184,184,520.740
3185,235,667.308
3186,487,1652.795
3187,543,1357.304
3188,474,1359.817
3189,194,729.229
3190,247,703.450
3191,272,801.705
3192,623,1947.850
3193,540,1688.836
3194,295,908.145
3195,1416,4709.665
3196,993,2604.473
3197,656,1630.305
3198,891,2441.253
3199,2380,6193.072
3200,225,552.525
3201,1188,3343.101
3202,99,303.871
3204,798,2194.923
3205,91,282.509
3206,154,509.404
3207,164,673.867
3211,133,533.746
3212,1099,3402.840
3213,155,761.020
3214,1236,3028.339
3215,942,3125.631
3216,2967,8511.505
3217,134,501.300
3218,495,1396.830
3219,1171,3144.872
3220,588,2100.565
3221,410,1176.176
3222,1036,3175.818
3223,720,2047.372
3224,901,2903.286
3225,424,1212.724
3226,979,3011.409
3227,389,1297.407
3228,1100,3513.789
3230,311,1023.506
3231,149,444.644
3232,64,184.249
3233,158,460.740
3234,6,22.270
3235,34,116.195
3236,23,58.710
3237,14,56.577
3238,26,72.660
3239,28,106.880
3240,166,630.255
3241,184,612.828
3242,65,232.795
3243,22,73.940
3249,219,712.919
3250,600,2120.131
3251,35,129.335
3254,29,79.940
3260,216,790.422
3264,108,444.800
3265,134,471.331
3266,167,639.697
3267,8,41.620
3268,135,492.115
3269,38,161.477
3270,14,49.570
3271,10,34.460
3272,94,332.595
3273,4,13.280
3274,19,63.010
3275,23,92.326
3276,17,57.720
3277,91,375.990
3278,12,44.630
3279,18,68.250
3280,1133,3947.576
3281,117,462.628
3282,118,386.634
3283,74,270.162
3284,190,703.256
3285,81,260.020
3286,33,121.701
3287,24,89.022
3289,59,203.142
3292,23,52.510
3293,25,78.721
3294,55,232.709
3300,464,1734.697
3301,62,223.137
3302,22,79.440
3303,17,80.970
3304,185,651.238
3305,824,2587.833
3309,5,18.370
3310,17,59.700
3311,120,439.337
3312,53,174.850
3314,40,121.811
3315,99,331.385
3317,7,19.130
3318,86,334.621
3319,15,51.446
3321,126,401.465
3322,8,22.265
3323,2,11.000
3324,35,105.880
3325,46,172.720
3328,145,410.747
3329,13,40.665
3330,11,38.600
3331,486,1566.198
3332,96,375.007
3333,66,230.172
3334,36,105.216
3335,182,805.392
3337,2206,6535.351
3338,1192,3559.171
3340,1362,4241.083
3341,156,516.002
3342,321,1153.696
3345,118,424.337
3350,2149,7000.872
3351,613,2149.638
3352,1103,4066.967
3353,10,21.180
3354,1,4.000
3355,469,1806.023
3356,672,2291.319
3357,234,758.653
3360,49,142.410
3361,46,163.405
3363,238,705.524
3364,177,635.554
3370,154,496.990
3371,121,385.060
3373,186,679.337
3374,45,183.635
3375,12,54.010
3377,528,1615.572
3378,4,20.030
3379,42,150.140
3380,354,1234.543
3381,101,335.783
3384,42,149.932
3385,55,195.205
3387,38,151.550
3388,46,149.595
3390,89,271.897
3391,17,65.550
3392,57,197.565
3393,217,759.050
3395,64,216.687
3396,79,234.395
3400,856,3428.613
3401,408,1567.271
3402,22,75.780
3407,32,105.798
3409,120,293.670
3412,34,78.100
3413,14,52.672
3414,193,635.960
3418,297,1166.036
3419,111,352.702
3420,22,75.560
3423,45,146.624
3424,57,187.805
3427,170,552.569
3428,46,203.661
3429,1932,5726.374
3430,22,91.860
3431,321,1088.657
3432,20,82.840
3433,19,68.075
3434,348,1090.237
3435,232,760.994
3437,630,2257.144
